filmtv_id,title,year,genre,duration,country,avg_vote,critics_vote,public_vote,total_votes,humor,rhythm,effort,tension,erotism,Labels
4659,Night Club,1989,27,99,70,4.4,4.25,5.0,23,2,3,1,2,2,4
82472,Freaks of Nature,2015,27,92,51,5.1,5.0,5.0,23,0,0,0,0,0,4
85338,Raid Dingue,2017,27,105,42,5.6,6.0,5.0,22,0,0,0,0,0,4
26404,Quella peste di Pierina,1982,27,88,70,2.8,2.5,3.0,22,1,2,0,0,1,4
12904,"L'arbre, le maire et la médiathèque",1992,27,105,42,6.7,7.0,6.0,22,2,2,2,1,0,4
4042,Madame X,1966,25,100,51,6.7,6.25,7.0,22,0,2,1,2,0,4
38661,Man About Town,2006,27,96,51,5.1,5.25,5.0,22,1,2,1,0,0,4
21572,Tomcats,2001,27,95,51,5.0,6.0,4.0,22,1,2,0,0,2,4
1468,Che c'entriamo noi con la rivoluzione?,1972,27,103,70,5.4,4.78,6.0,22,2,2,0,1,0,4
40903,Post Grad ,2009,27,88,51,3.6,3.25,4.0,22,1,2,0,0,1,4
13145,Palla di neve,1995,27,100,70,3.7,3.8,4.0,22,1,1,0,1,0,4
10927,Boeing Boeing,1965,27,102,51,6.2,6.5,6.0,22,2,2,0,0,0,4
19325,Play It to the Bone,2000,27,124,51,5.5,5.0,6.0,22,1,1,0,0,1,4
19781,Il grande botto,2000,27,100,70,5.5,5.4,6.0,22,1,2,0,0,1,4
47696,Benur - Un gladiatore in affitto,2012,27,98,70,4.8,4.5,5.0,22,3,3,0,0,0,4
23079,The Hospital,1971,27,102,51,7.4,7.0,8.0,22,2,3,0,2,0,4
6153,Satiricosissimo,1970,27,89,70,5.4,4.67,6.0,22,2,1,0,0,0,4
22746,Gli innamorati,1955,27,83,70,6.6,6.25,7.0,22,2,2,0,0,0,4
21600,Il ficcanaso,1981,27,99,70,5.0,4.4,6.0,22,1,2,0,1,0,4
85288,Father Figures,2017,27,113,51,4.5,4.0,5.0,22,0,0,0,0,0,4
44315,The Moguls,2005,27,96,51,5.3,5.0,6.0,22,2,2,0,0,1,4
13454,Storia di fifa e di coltello. Er seguito der Più,1972,27,104,70,4.7,4.0,5.0,22,1,2,0,0,0,4
163039,Nevermind,2018,27,110,70,5.4,5.25,6.0,22,0,1,0,1,0,4
17934,The Emperor Waltz,1948,27,106,51,5.9,5.67,6.0,22,2,2,0,1,0,4
9464,Due strani papà,1983,27,86,70,4.9,4.8,5.0,22,1,2,0,0,0,4
18109,Piedino il questurino,1974,27,90,70,4.7,4.0,5.0,22,2,3,0,0,0,4
46690,Major Movie Star,2008,27,98,51,4.1,4.0,4.0,22,1,2,0,0,0,4
21386,About Adam,2000,27,97,39,5.6,6.75,4.0,22,2,2,0,0,1,4
39463,Brain Damage,1988,27,84,51,8.1,9.0,7.0,22,0,0,0,0,0,4
25882,L'ingenua,1975,27,92,70,3.1,2.67,4.0,22,1,1,1,0,1,4
39389,The Farmer's Wife,1928,27,129,95,5.6,5.33,6.0,22,2,1,1,1,1,4
