filmtv_id,title,year,genre,duration,country,avg_vote,critics_vote,public_vote,total_votes,humor,rhythm,effort,tension,erotism,Labels
136731,Alita: Battle Angel,2019,5,121,51,6.4,6.29,6.0,100,0,0,0,0,0,5
42157,Shadow,2010,13,80,70,6.6,7.05,6.0,100,3,1,3,0,0,5
903,Il bell'Antonio,1959,4,105,70,7.7,7.73,8.0,100,1,2,4,1,2,5
41676,Adam Resurrected,2008,4,106,113,7.4,7.67,7.0,100,1,2,4,4,1,5
18961,Cruel Intentions,1999,4,95,51,5.4,5.29,5.0,100,1,2,0,1,2,5
50059,L'intervallo,2012,4,90,70,7.2,7.83,7.0,100,1,3,4,3,1,5
11582,Judgment at Nuremberg,1961,4,178,51,8.1,8.07,8.0,100,0,3,4,3,0,5
13087,A Walk in the Clouds,1994,1,102,51,5.4,5.33,5.0,100,2,2,2,1,2,5
37681,Aliens vs. Predator: Requiem,2007,5,87,51,4.4,4.56,4.0,100,0,2,0,2,0,5
128224,The Florida Project,2017,4,115,51,6.9,6.76,7.0,100,0,0,0,0,0,5
20778,Paura nella città dei morti viventi,1980,13,90,70,6.2,5.55,7.0,100,0,3,0,3,2,5
72805,An,2015,4,113,42,7.1,7.1,7.0,99,2,1,2,1,0,5
11982,Un coeur en hiver,1992,4,106,42,7.2,6.96,8.0,99,0,2,0,1,1,5
23151,Don't Look Now,1973,4,110,95,7.8,8.0,8.0,99,0,2,3,4,2,5
53241,Okami kodomo no ame to yuki,2012,9,117,103,8.1,8.0,8.0,99,1,3,3,2,1,5
49299,ParaNorman,2012,9,93,51,7.3,7.47,7.0,99,2,2,0,1,0,5
37568,Love in the Time of Cholera,2007,4,139,51,4.7,4.1,5.0,99,0,2,1,1,1,5
165047,Toy Story 4,2019,9,99,51,7.0,6.91,7.0,99,0,0,0,0,0,5
127704,The Leisure Seeker,2017,4,112,51,5.9,5.58,6.0,99,0,0,0,0,0,5
7741,Fantastic Voyage,1966,5,100,51,7.8,7.83,8.0,99,2,3,1,2,1,5
66298,Deliver Us from Evil,2014,14,118,51,5.5,5.54,6.0,99,0,2,2,3,0,5
19496,Quella villa accanto al cimitero,1981,13,80,70,7.0,6.36,8.0,99,2,3,0,3,0,5
142553,Hva vil folk si,2017,4,106,8,7.2,7.0,7.0,99,0,0,0,0,0,5
83458,Indivisibili,2016,4,100,70,6.5,6.7,6.0,99,0,0,0,0,0,5
18178,Rounders,1998,4,120,51,5.9,5.5,6.0,99,1,2,2,2,0,5
26437,Taking Lives,2004,14,103,51,5.1,4.88,5.0,99,0,3,2,3,2,5
1943,"The Cook, the Thief, his Wife and her Lover",1989,4,120,95,8.0,8.5,7.0,99,1,2,4,3,2,5
59931,Insidious: Chapter 2,2013,13,102,51,5.9,5.6,6.0,99,2,2,1,2,0,5
39995,In the Electric Mist,2009,4,117,51,6.4,6.75,6.0,99,0,2,1,2,1,5
4452,Chariots of Fire,1981,4,124,95,7.0,7.23,7.0,99,1,2,2,2,1,5
39635,Katyn,2007,4,118,91,7.6,7.69,8.0,99,0,2,2,1,0,5
45611,Elle s'appelait Sarah,2010,4,111,42,6.3,6.07,7.0,99,0,4,4,4,0,5
13276,Mary Reilly,1996,4,118,51,6.4,6.42,6.0,99,0,2,1,3,1,5
24648,Zerkalo,1974,4,105,4,7.9,7.5,8.0,99,0,1,4,2,0,5
38357,Little Children,2006,4,130,51,7.5,7.9,7.0,99,0,1,1,1,3,5
1597,The Crazies,1973,4,105,51,7.0,6.72,7.0,99,2,4,3,5,2,5
9303,Höstsonaten,1978,4,90,42,7.8,7.83,8.0,99,0,1,2,3,0,5
84331,Me Before You,2016,4,110,51,5.9,5.82,6.0,99,0,0,0,0,0,5
4581,Black Narcissus,1947,4,100,95,8.4,8.55,8.0,99,0,3,4,4,1,5
38588,The International,2009,14,118,51,4.7,4.0,5.0,99,0,2,1,1,0,5
6745,La mariée était en noir,1967,4,107,42,7.9,7.7,8.0,99,0,2,1,3,2,5
50503,Broken City,2013,14,109,51,5.7,5.86,6.0,99,1,3,0,1,1,5
1380,Cassandra Crossing,1976,14,125,95,6.1,5.7,7.0,98,1,4,3,4,1,5
10735,Cul-de-sac,1966,4,111,95,7.8,7.88,8.0,98,2,2,1,2,1,5
157769,La paranza dei bambini,2019,4,105,70,6.6,6.79,6.0,98,0,0,0,0,0,5
11838,Twilight Zone: The Movie,1983,5,101,51,6.4,6.27,7.0,98,1,2,0,2,0,5
32331,Doom,2005,5,100,51,4.7,4.67,5.0,98,0,2,1,2,0,5
16934,Mercury Rising,1998,14,111,51,5.3,4.67,6.0,98,1,2,1,2,0,5
10843,Dark Passage,1947,2,106,51,8.4,8.27,9.0,98,0,3,2,3,0,5
14603,Banshun,1949,4,108,103,9.1,9.54,9.0,98,1,2,3,1,0,5
20173,Ano natsu ichiban shizukana umi,1991,4,101,103,8.3,8.5,8.0,98,1,2,4,2,1,5
39737,My Bloody Valentine 3-D,2009,13,101,51,3.7,3.36,4.0,98,1,2,0,1,1,5
4299,La sirène du Mississippi,1969,4,123,42,7.8,7.83,8.0,98,2,3,1,3,3,5
7909,Willow,1988,5,123,51,7.1,7.2,7.0,98,2,2,0,2,0,5
20762,Autumn in New York,2000,1,106,51,4.5,4.91,4.0,98,0,1,1,1,0,5
65617,What We Do in the Shadows,2014,13,86,116,6.8,7.0,7.0,98,1,0,0,0,0,5
8430,Regarding Henry,1991,4,108,51,6.2,6.25,6.0,98,0,2,2,3,0,5
20901,The 6th Day,2000,5,124,51,4.6,3.88,5.0,98,2,3,2,3,2,5
125111,Fences,2016,4,138,51,6.3,6.24,6.0,98,0,0,0,0,0,5
2417,Sisters,1973,14,93,51,7.5,7.83,7.0,98,0,1,0,3,1,5
357,Der Amerikanische Freund,1977,4,128,113,7.7,7.76,8.0,98,0,2,1,3,0,5
23116,The Incredible Shrinking Man,1957,5,81,51,8.4,8.42,8.0,98,1,2,3,3,1,5
9951,Cronaca di un amore,1950,4,110,70,7.7,7.92,7.0,98,0,1,2,2,1,5
47294,Venuto al mondo,2012,4,127,70,5.8,5.19,6.0,98,0,2,4,3,1,5
14761,L'udienza,1971,7,112,70,7.5,7.6,7.0,98,1,2,3,1,1,5
11825,Roma,1972,7,130,70,8.0,7.85,8.0,98,3,3,2,1,1,5
66134,Tusk,2014,13,102,51,6.3,6.08,7.0,98,2,2,1,2,0,5
28300,Cursed,2004,13,97,51,5.3,5.31,5.0,98,1,2,0,2,0,5
36658,Efter brylluppet,2006,4,120,53,7.1,7.0,7.0,98,1,3,2,2,1,5
41838,Repo Men,2010,5,111,51,5.9,5.67,6.0,98,0,2,0,2,0,5
12009,Los olvidados,1950,4,88,126,8.7,8.75,9.0,97,0,2,4,3,0,5
77104,King Arthur: Legend of the Sword,2017,5,127,51,5.1,4.91,5.0,97,1,1,1,1,0,5
6036,Rollerball,1975,5,125,51,7.5,7.47,8.0,97,1,3,2,3,0,5
27861,L'esquive,2003,4,117,42,7.8,7.86,8.0,97,1,3,3,2,0,5
21108,The Legend of Bagger Vance,2000,4,126,51,5.4,4.75,6.0,97,1,2,0,1,0,5
46932,The Twilight Saga: Breaking Dawn - Part 2,2012,5,115,51,4.2,4.25,4.0,97,1,3,2,3,1,5
16175,Henry: Portrait of a Serial Killer,1986,4,83,51,7.2,7.2,7.0,97,0,2,3,4,0,5
64052,Wild,2014,4,120,51,6.3,6.33,6.0,97,0,1,3,1,1,5
52359,"Bianca come il latte, rossa come il sangue",2013,4,102,70,5.4,5.44,5.0,97,1,2,2,2,0,5
38337,Blindness,2008,4,118,24,5.9,6.07,6.0,97,0,1,1,2,0,5
5431,The Pit and the Pendulum,1961,13,80,51,7.8,8.0,8.0,97,1,2,1,4,1,5
143181,Crooked House,2017,14,115,95,5.6,5.25,6.0,97,0,1,0,1,0,5
68800,Perez.,2014,4,94,70,6.3,6.5,6.0,97,1,3,2,3,1,5
15094,Ransom,1996,4,121,51,6.2,6.29,6.0,97,0,2,1,2,0,5
44940,Koi no Tsumi,2011,4,144,103,7.2,7.27,7.0,97,0,0,0,0,0,5
23277,La règle du jeu,1939,4,113,42,8.3,9.22,7.0,97,4,4,5,4,1,5
29717,Boogeyman,2005,13,89,51,4.6,4.67,4.0,97,0,1,0,2,0,5
52922,Hummingbird,2013,14,100,51,6.2,6.5,6.0,97,0,2,2,2,0,5
45587,Il rosso e il blu,2011,4,98,70,6.0,5.78,6.0,97,1,3,3,1,0,5
20493,Terrore nello spazio,1965,5,86,70,6.8,6.36,7.0,97,0,2,1,3,0,5
41702,Remember Me,2010,4,113,51,4.9,4.22,6.0,97,0,2,1,1,0,5
25670,Looney Tunes: Back in Action,2003,9,91,51,6.6,6.63,7.0,97,3,3,0,1,0,5
38057,The Oxford Murders,2008,14,110,94,5.2,5.17,5.0,97,0,2,1,2,1,5
18534,"Hush... Hush, Sweet Charlotte",1964,4,133,51,8.0,8.21,8.0,97,1,2,0,3,0,5
9927,Flatliners,1990,14,110,51,6.0,5.36,7.0,97,0,3,1,3,1,5
45782,The Bay,2011,5,84,51,5.7,6.09,5.0,96,0,2,3,3,0,5
